Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
1978-12-29,226.0,137.1,,110.7,,,,,,,,,,,,,,,
1979-01-01,226.0,137.1,,110.7,,,,,,,,,,,,,,,
1979-01-02,226.8,137.3,43164.9,111.5,263.7,359.6,1792.9,,,735.6,138160.5,851.3,4454.6,,,107470.0,,194.6,193.6
1979-01-03,218.6,134.0,43717.9,108.0,264.4,365.9,1802.2,,,739.4,138877.0,855.7,4477.7,,,108027.4,,192.2,193.0
1979-01-04,223.2,136.8,43674.9,110.7,264.1,366.4,1811.7,,,743.4,139616.3,860.3,4501.5,,,108602.5,,193.0,194.6
1979-01-05,225.5,138.4,44582.5,111.6,268.4,373.7,1843.6,,,756.4,142069.1,875.4,4580.6,,,110510.4,,196.4,197.9
1979-01-08,223.1,136.4,44436.2,110.2,269.5,372.6,1841.3,,,750.9,141870.9,869.7,4574.2,,,110356.3,,197.2,197.9
1979-01-09,224.0,137.3,44045.6,111.0,266.3,372.8,1822.5,,,743.3,140446.7,860.9,4528.3,,,109248.4,,195.0,195.9
1979-01-10,220.7,135.5,43366.4,109.9,261.8,365.9,1803.5,,,735.6,138981.0,852.0,4481.0,,,108108.3,,192.0,192.7
1979-01-11,220.7,135.9,43770.6,110.2,262.5,370.9,1814.6,,,740.1,139833.8,857.2,4508.5,,,108771.7,,192.4,193.8
1979-01-12,217.6,134.1,42837.1,109.0,257.2,364.6,1782.6,,,727.1,137371.8,842.1,4429.1,,,106856.6,,187.1,189.8
1979-01-15,216.9,133.8,42795.3,108.8,256.8,367.8,1782.0,,,718.1,135122.4,825.5,4374.7,,,106819.8,,187.3,189.8
1979-01-16,220.7,135.6,43225.9,110.2,260.9,367.7,1796.5,,,724.0,136222.9,832.3,4410.4,,,107689.8,,189.3,191.9
1979-01-17,227.3,139.2,44349.7,113.3,267.6,376.2,1842.1,,,742.3,139676.2,853.4,4522.2,,,110419.8,,196.0,197.1
1979-01-18,231.8,141.7,44823.4,115.3,270.8,379.1,1861.7,,,750.3,141168.1,862.5,4570.5,,,111599.2,,197.1,199.0
1979-01-19,230.6,141.1,46908.8,115.1,280.9,396.1,1940.8,,,782.1,147159.4,899.1,4764.4,,,116335.5,,206.5,207.6
1979-01-22,235.0,144.0,46387.4,117.6,278.3,393.5,1886.9,,,781.1,146492.8,898.4,4746.6,,,115493.3,,203.5,205.7
1979-01-23,230.0,141.1,45633.1,115.2,273.3,386.8,1895.4,,,768.4,144110.7,883.8,4669.5,,,113615.3,,200.7,202.0
1979-01-24,236.1,144.7,46372.4,118.1,278.9,392.8,1926.1,,,780.9,146445.4,898.1,4745.1,,,115456.0,,203.9,205.6
1979-01-25,233.9,144.0,46890.3,117.3,280.1,397.2,1937.8,,,785.6,147335.8,903.6,4774.0,,,116157.9,,205.2,206.5
1979-01-26,235.5,144.6,46801.3,118.0,279.6,394.6,1929.3,,,782.2,146687.1,899.6,4752.9,,,115646.5,,204.3,206.0
1979-01-29,235.2,145.3,46917.3,117.9,279.3,395.3,1887.0,,,780.0,146264.7,896.1,4721.9,,,115498.5,,203.1,206.0
1979-01-30,233.5,144.1,46907.2,116.9,278.5,394.2,1921.6,,,777.9,145868.4,893.7,4709.1,,,115185.5,,203.1,205.6
1979-01-31,233.7,144.8,45160.3,117.4,267.1,379.3,1840.8,,,745.2,139739.3,856.1,4511.3,,,108235.8,,194.5,197.2
1979-02-01,229.4,142.9,47160.5,115.8,279.2,397.1,1927.1,,,780.1,146291.2,896.3,4722.8,,,113310.7,,202.3,205.8
